Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,Date
February,Economy,UK,EEA,60,BRITISH AIRWAYS,Crime & Policing Group,05/07/12
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,20/12/11
February,Business Class,UK,EEA,1018.43,LUFTHANSA GERMAN AIRLINES,Private Office,23/08/11
February,Economy,UK,UK,91.99,FLYBE BRITISH EUROPEAN,Resource Management Group,04/07/11
February,Economy,UK,UK,185.88,LUFTHANSA GERMAN AIRLINES,Strategy & Reform Directorate,24/09/11
February,Economy,UK,EEA,189.57,LOT-POLISH AIRLINES,UKBA,12/10/11
February,Economy,UK,UK,119.35,BRITISH AIRWAYS,Criminal & Detention Group,17/10/11
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,HMIC,28/03/11
February,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Strategic Director Border,17/06/11
January,Economy,UK,UK,182.03,EASYJET,Strategic Director Border,26/01/12
February,Economy,UK,UK,154.35,BRITISH AIRWAYS,Immigration Group,28/12/11
February,Economy,UK,UK,190.23,FLYBE BRITISH EUROPEAN,Strategic Director Border,06/10/11
February,Economy,UK,UK,122.1,BMI,Strategic Director Border,28/03/12
February,Economy,UK,UK,146.62,BRITISH AIRWAYS,Strategic Director Border,28/08/11
January,Economy,UK,UK,69.74,EASYJET,Science & Research Group,23/09/12
February,Economy,UK,UK,129.35,BRITISH AIRWAYS,Strategic Director Border,08/10/11
February,Economy,UK,UK,226.01,FLYBE BRITISH EUROPEAN,Resource Management Group,28/11/11
January,Economy,UK,UK,185.99,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,17/06/11
February,Economy,UK,UK,128.7,BRITISH AIRWAYS,Strategy & Reform Directorate,15/01/11
February,Economy,UK,UK,78.5,BRITISH AIRWAYS,Policy & Strategy,12/04/12
February,Economy,Non EEA,UK,106,BRITISH AIRWAYS,Immigration Group,31/07/12
February,Economy,UK,UK,101.5,BRITISH AIRWAYS,OSCT,28/04/11
February,Economy,UK,UK,205.9,BMI,Strategic Director Border,16/05/12
February,Economy,UK,UK,129.03,EASYJET,Immigration Group,18/04/11
February,Economy,UK,UK,146.62,BRITISH AIRWAYS,Strategic Director Border,10/03/11
February,Economy,UK,EEA,138,BRITISH AIRWAYS,Crime & Policing Group,13/08/12
February,Economy,UK,Non EEA,666.7,TURKISH AIRLINES,Immigration Group,25/07/11
February,Economy,Non EEA,Non EEA,379,TURKISH AIRLINES,Policy & Strategy,25/01/12
February,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Strategic Director Border,08/03/11
March,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,HMIC,24/03/11
February,Economy,Non EEA,UK,106,BRITISH AIRWAYS,Immigration Group,22/03/12
March,Economy,UK,UK,103.2,FLYBE BRITISH EUROPEAN,HROD,04/08/11
February,Economy,UK,UK,174.35,BRITISH AIRWAYS,Strategic Director Border,01/12/11
February,Economy,UK,UK,179.63,BRITISH AIRWAYS,Strategic Director Border,06/03/12
February,Economy,UK,UK,103.43,BRITISH AIRWAYS,HROD,08/01/11
January,Economy,UK,UK,132,BMI,OSCT,14/10/11
February,Economy,UK,UK,85.6,BMI,Policy & Strategy,22/08/12
February,Economy,UK,UK,94.43,BRITISH AIRWAYS,Criminal & Detention Group,12/03/12
February,Economy,UK,UK,157.63,BRITISH AIRWAYS,Strategic Director Border,14/06/11
March,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,HMIC,20/05/12
February,Economy,UK,UK,77.03,EASYJET,OSCT,14/07/11
February,Economy,UK,Non EEA,666.7,TURKISH AIRLINES,Immigration Group,08/01/11
February,Economy,UK,UK,124.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,01/04/12
February,Business Class,UK,EEA,1185.43,LUFTHANSA GERMAN AIRLINES,International Directorate,31/12/11
February,Economy,UK,EEA,114.03,EASYJET,Strategic Director Border,06/05/12
January,Economy,UK,UK,115.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,25/04/11
January,Economy,UK,UK,147.01,FLYBE BRITISH EUROPEAN,HMIC,09/09/12
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,01/12/11
February,Economy,UK,UK,122.1,BMI,Strategic Director Border,03/05/11
February,Economy,UK,UK,58.69,BRITISH AIRWAYS,Strategy & Reform Directorate,04/07/11
April,Economy,UK,UK,76.2,FLYBE BRITISH EUROPEAN,HROD,06/08/11
February,Economy,UK,Non EEA,290.5,BRITISH AIRWAYS,International Group,14/06/12
February,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Finance & Commercial Group,27/12/11
February,Economy,UK,UK,68,BMI,Strategic Director Border,21/08/12
February,Economy,UK,UK,276.62,BRITISH AIRWAYS,Strategic Director Border,12/01/12
March,Economy,UK,UK,96.54,BRITISH AIRWAYS,Strategic Director Border,10/06/11
February,Economy,UK,UK,119.35,BRITISH AIRWAYS,Criminal & Detention Group,02/07/11
March,Economy,UK,UK,76.01,FLYBE BRITISH EUROPEAN,HROD,08/04/11
January,Economy,UK,UK,78.69,BRITISH AIRWAYS,Immigration Group,15/03/11
March,Economy,Non EEA,UK,434.67,VIRGIN ATLANTIC,OSCT,30/05/12
February,Economy,UK,UK,87.03,EASYJET,Strategic Director Border,09/04/12
January,Economy,UK,UK,0,BRITISH AIRWAYS,IPS,28/09/12
February,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,09/02/12
February,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Criminal & Detention Group,27/08/11
January,Economy,UK,UK,0,BRITISH AIRWAYS,Immigration Group,27/08/12
January,Economy,UK,UK,0,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate,25/06/11
January,Business Class,UK,Non EEA,0,BRITISH AIRWAYS,International Group,06/03/12
March,Economy,UK,UK,83.98,FLYBE BRITISH EUROPEAN,CRB,08/05/11
March,Economy,UK,UK,175.9,EASTERN AIRWAYS,CRB,19/05/12
March,Economy,UK,UK,187,BMI,CRB,13/07/12
February,Economy,UK,UK,110.03,EASYJET,CRB,29/08/11
February,Economy,UK,UK,163.94,FLYBE BRITISH EUROPEAN,IPS,28/02/12
February,Economy,UK,UK,60,BRITISH AIRWAYS,IPS,18/10/11
February,Economy,UK,UK,77.85,BRITISH AIRWAYS,IPS,08/03/12
February,Economy,UK,UK,104.98,BMI BABY,IPS,26/10/11
February,Economy,UK,UK,156.59,BMI,IPS,02/09/11
February,Economy,UK,UK,59.43,EASYJET,IPS,16/12/11
February,Economy,UK,UK,314.98,BRITISH AIRWAYS,IPS,25/09/12
February,Economy,UK,UK,59.43,EASYJET,IPS,09/07/11
February,Economy,UK,UK,59.43,EASYJET,IPS,01/01/11
February,Economy,UK,UK,77.85,BRITISH AIRWAYS,IPS,13/07/12
February,Economy,UK,UK,50,BMI,IPS,16/08/11
February,Economy,UK,UK,59.43,EASYJET,IPS,25/04/12
February,Economy,UK,UK,77.85,BRITISH AIRWAYS,IPS,22/08/11
March,Economy,UK,Non EEA,672.72,EMIRATES,IPS,29/05/11
February,Economy,UK,UK,67.03,EASYJET,IPS,12/07/12
March,Economy,UK,Non EEA,672.72,EMIRATES,IPS,23/03/11
March,Economy,UK,UK,89.35,BRITISH AIRWAYS,IPS,27/06/11
February,Economy,UK,UK,77.85,BRITISH AIRWAYS,IPS,24/02/12
February,Economy,UK,UK,211.62,BRITISH AIRWAYS,IPS,20/01/11
February,Business Class,UK,UK,154.5,BRITISH AIRWAYS,IPS,30/03/12
March,Economy,UK,EEA,318.17,AIR FRANCE,IPS,20/11/11
February,Economy,UK,UK,163.94,FLYBE BRITISH EUROPEAN,IPS,23/06/11
March,Economy,UK,UK,55.03,EASYJET,IPS,07/07/11
February,Economy,UK,UK,242.01,FLYBE BRITISH EUROPEAN,IPS,06/06/12
February,Economy,UK,UK,57.03,EASYJET,IPS,24/07/11
February,Economy,UK,UK,15,BRITISH AIRWAYS,IPS,28/08/11
February,Economy,UK,UK,67.03,EASYJET,IPS,23/09/11
February,Economy,UK,UK,176.54,BRITISH AIRWAYS,IPS,03/11/11
February,Economy,UK,UK,220.51,FLYBE BRITISH EUROPEAN,IPS,09/07/12
February,Economy,UK,UK,68.69,BRITISH AIRWAYS,IPS,10/02/11
February,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS,31/08/12
February,Economy,UK,UK,101.03,EASYJET,IPS,04/08/11
February,Economy,UK,UK,115.48,BMI BABY,IPS,08/01/12
February,Economy,UK,UK,137.5,FLYBE BRITISH EUROPEAN,IPS,31/08/11
February,Economy,UK,UK,91.6,FLYBE BRITISH EUROPEAN,IPS,29/01/12
February,Economy,UK,UK,193.15,FLYBE BRITISH EUROPEAN,IPS,30/05/12
February,Economy,UK,UK,261.59,BMI,IPS,17/11/11
February,Economy,UK,UK,76.98,BMI BABY,IPS,24/05/11
February,Economy,UK,UK,48.03,EASYJET,IPS,09/06/11
February,Economy,UK,UK,252.59,BMI,IPS,29/10/11
February,Economy,UK,UK,244.69,BRITISH AIRWAYS,IPS,29/08/11
February,Economy,UK,UK,244.69,BRITISH AIRWAYS,IPS,08/05/12
February,Economy,UK,EEA,176.03,EASYJET,IPS,05/09/12
March,Economy,UK,UK,108.5,FLYBE BRITISH EUROPEAN,IPS,08/06/12
February,Economy,UK,UK,295.59,BMI,IPS,18/02/12
February,Economy,UK,UK,166.91,FLYBE BRITISH EUROPEAN,IPS,16/01/12
February,Economy,UK,UK,87.03,EASYJET,IPS,13/01/12
February,Economy,UK,UK,222.01,FLYBE BRITISH EUROPEAN,IPS,28/02/12
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS,04/03/11
February,Economy,UK,UK,302.01,FLYBE BRITISH EUROPEAN,IPS,23/12/11
March,Economy,UK,UK,96.51,FLYBE BRITISH EUROPEAN,IPS,11/02/11
February,Economy,UK,UK,244.69,BRITISH AIRWAYS,IPS,08/03/12
February,Economy,UK,UK,143.5,FLYBE BRITISH EUROPEAN,IPS,11/07/11
February,Economy,UK,UK,87.01,FLYBE BRITISH EUROPEAN,IPS,06/09/11
February,Economy,UK,UK,300.94,FLYBE BRITISH EUROPEAN,IPS,24/09/11
February,Economy,UK,UK,168.91,FLYBE BRITISH EUROPEAN,IPS,18/01/11
February,Economy,UK,UK,94.69,BRITISH AIRWAYS,IPS,17/01/12
February,Economy,UK,UK,260.49,BRITISH AIRWAYS,IPS,08/08/12
February,Economy,UK,UK,131.01,FLYBE BRITISH EUROPEAN,IPS,26/10/11
February,Economy,UK,UK,119.03,EASYJET,IPS,12/04/12
March,Economy,UK,UK,96.51,FLYBE BRITISH EUROPEAN,IPS,14/04/12
February,Economy,UK,UK,245.85,BRITISH AIRWAYS,IPS,14/04/12
February,Economy,UK,UK,282.59,BMI,IPS,09/08/12
February,Economy,UK,UK,234.59,BMI,IPS,26/05/12
February,Economy,UK,UK,199.19,BRITISH AIRWAYS,IPS,15/10/11
February,Economy,UK,UK,160.94,FLYBE BRITISH EUROPEAN,IPS,09/08/11
February,Economy,UK,UK,263.19,BRITISH AIRWAYS,IPS,03/12/11
February,Economy,UK,UK,134.59,BMI,IPS,25/04/12
February,Economy,UK,UK,191.1,BMI,IPS,09/12/11
February,Economy,UK,UK,164.01,FLYBE BRITISH EUROPEAN,IPS,03/06/12
February,Economy,UK,UK,266.01,FLYBE BRITISH EUROPEAN,IPS,17/02/11
February,Economy,UK,UK,270.54,BRITISH AIRWAYS,IPS,10/03/12
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS,05/02/11
February,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS,09/02/12
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS,04/08/11
February,Economy,UK,UK,199.54,BRITISH AIRWAYS,IPS,23/02/11
February,Economy,UK,UK,106.84,FLYBE BRITISH EUROPEAN,IPS,18/06/11
February,Economy,UK,UK,106.84,FLYBE BRITISH EUROPEAN,IPS,13/09/12
March,Economy,UK,UK,123.09,FLYBE BRITISH EUROPEAN,IPS,03/08/11
February,Economy,UK,UK,190.51,FLYBE BRITISH EUROPEAN,IPS,26/09/11
February,Economy,UK,UK,214.54,BRITISH AIRWAYS,IPS,13/04/12
February,Economy,UK,UK,155.69,BRITISH AIRWAYS,IPS,02/07/12
March,Economy,UK,UK,68.44,FLYBE BRITISH EUROPEAN,IPS,19/04/12
February,Economy,UK,UK,140.5,FLYBE BRITISH EUROPEAN,IPS,17/08/12
February,Economy,UK,UK,47.74,EASYJET,IPS,09/06/11
March,Economy,UK,UK,278.59,BMI,IPS,24/10/11
February,Economy,UK,UK,214.01,FLYBE BRITISH EUROPEAN,IPS,29/09/11
January,Economy,UK,UK,88.74,EASYJET,IPS,22/06/11
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS,21/06/12
February,Economy,UK,UK,205.51,FLYBE BRITISH EUROPEAN,IPS,02/03/12
March,Economy,UK,UK,202.5,EASTERN AIRWAYS,IPS,03/04/12
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,IPS,19/04/12
March,Economy,UK,UK,83.98,BMI BABY,IPS,27/05/11
February,Economy,UK,UK,226.23,BRITISH AIRWAYS,IPS,31/03/12
February,Economy,UK,UK,63.85,BRITISH AIRWAYS,IPS,20/05/11
February,Economy,UK,UK,83.74,EASYJET,IPS,26/04/12
March,Economy,UK,UK,198.33,FLYBE BRITISH EUROPEAN,IPS,08/03/11
February,Economy,UK,UK,139.03,EASYJET,IPS,05/03/11
February,Economy,UK,UK,109.03,EASYJET,IPS,03/12/11
February,Economy,UK,UK,60,BRITISH AIRWAYS,IPS,19/11/11
February,Economy,UK,UK,295.59,BMI,IPS,18/06/12
February,Business Class,UK,UK,156.5,BRITISH AIRWAYS,IPS,04/01/12
March,Economy,UK,UK,128.51,FLYBE BRITISH EUROPEAN,IPS,01/10/11
February,Economy,UK,UK,246.69,BRITISH AIRWAYS,IPS,11/03/12
February,Economy,UK,UK,87.93,BRITISH AIRWAYS,IPS,30/07/11
March,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,IPS,22/09/12
February,Economy,UK,UK,170.62,BRITISH AIRWAYS,IPS,13/10/11
March,Economy,UK,UK,48.74,EASYJET,IPS,17/09/12
March,Economy,UK,UK,22,FLYBE BRITISH EUROPEAN,IPS,20/01/11
March,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,IPS,21/03/11
February,Economy,UK,UK,179.15,FLYBE BRITISH EUROPEAN,IPS,17/07/11
February,Economy,UK,UK,276.62,BRITISH AIRWAYS,IPS,27/08/11
February,Economy,UK,UK,89.85,BRITISH AIRWAYS,IPS,18/08/11
February,Economy,UK,UK,128.54,BRITISH AIRWAYS,IPS,17/09/11
March,Economy,UK,UK,269.98,BRITISH AIRWAYS,IPS,12/07/11
February,Economy,UK,UK,252.59,BMI,IPS,19/04/11
March,Economy,UK,UK,211.09,EASYJET,IPS,23/10/11
February,Economy,UK,UK,184.85,BRITISH AIRWAYS,IPS,20/07/11
February,Economy,UK,UK,109.03,EASYJET,IPS,29/06/11
March,Economy,UK,UK,204.01,FLYBE BRITISH EUROPEAN,IPS,14/05/11
March,Economy,UK,UK,59.5,BRITISH AIRWAYS,IPS,24/02/12
March,Economy,UK,UK,94.5,BRITISH AIRWAYS,IPS,05/05/11
March,Economy,UK,UK,235.62,BRITISH AIRWAYS,IPS,04/06/11
March,Economy,UK,UK,92.98,BMI BABY,IPS,22/04/12
March,Economy,UK,UK,174.5,BRITISH AIRWAYS,IPS,10/05/11
March,Economy,UK,UK,154.54,BRITISH AIRWAYS,IPS,12/05/11
February,Economy,UK,UK,107.69,BRITISH AIRWAYS,IPS,11/02/11
March,Economy,UK,UK,134.31,FLYBE BRITISH EUROPEAN,IPS,12/08/11
February,Economy,UK,UK,177.15,FLYBE BRITISH EUROPEAN,ISA,25/02/12
February,Economy,UK,UK,202.7,EASTERN AIRWAYS,ISA,11/07/11
February,Economy,UK,UK,129.03,EASYJET,ISA,12/07/12
February,Economy,UK,UK,94.34,FLYBE BRITISH EUROPEAN,ISA,18/09/12
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,ISA,28/06/11
February,Economy,UK,UK,147.15,FLYBE BRITISH EUROPEAN,ISA,15/02/11
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,12/05/12
February,Economy,UK,UK,118.31,FLYBE BRITISH EUROPEAN,Strategic Director Border,22/05/12
February,Economy,UK,UK,184.43,BRITISH AIRWAYS,Strategic Director Border,12/07/11
February,Economy,UK,UK,126.54,BRITISH AIRWAYS,Science & Research Group,20/04/12
February,Economy,UK,UK,325.1,BMI,Strategic Director Border,26/01/11
March,Economy,UK,UK,111.54,BRITISH AIRWAYS,Science & Research Group,27/08/12
February,Economy,UK,UK,100.01,FLYBE BRITISH EUROPEAN,OSCT,15/02/12
February,Business Class,UK,UK,30,BRITISH AIRWAYS,Strategic Director Border,18/03/11
February,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,HMIC,05/07/12
February,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Finance & Commercial Group,15/09/11
February,Economy,UK,UK,206.2,FLYBE BRITISH EUROPEAN,Immigration Group,24/05/12
February,Economy,UK,UK,213.54,BRITISH AIRWAYS,Science & Research Group,12/02/12
March,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,OSCT,15/01/11
February,Economy,UK,UK,207.97,FLYBE BRITISH EUROPEAN,Strategic Director Border,01/03/11
September,Economy,UK,UK,86.54,BRITISH AIRWAYS,Strategy & Reform Directorate,06/02/11
March,Economy,UK,UK,106.54,BRITISH AIRWAYS,Science & Research Group,18/02/11
February,Economy,UK,UK,78.5,BRITISH AIRWAYS,Strategic Director Border,10/09/12
March,Economy,UK,UK,122.9,BMI,Strategic Director Border,23/12/11
March,Economy,UK,UK,152.9,BMI,Strategic Director Border,30/11/11
February,Economy,UK,UK,131.43,BRITISH AIRWAYS,Criminal & Detention Group,19/11/11
February,Economy,UK,UK,150.43,BRITISH AIRWAYS,Criminal & Detention Group,23/05/12
February,Economy,UK,UK,154.35,BRITISH AIRWAYS,Criminal & Detention Group,26/01/11
February,Economy,UK,UK,104.9,MANX2,Immigration Group,29/07/11
February,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Finance & Commercial Group,27/04/11
February,Economy,UK,UK,135.7,FLYBE BRITISH EUROPEAN,HMIC,27/04/11
February,Economy,UK,UK,229.94,FLYBE BRITISH EUROPEAN,Strategic Director Border,04/01/11
March,Economy,UK,UK,159.05,FLYBE BRITISH EUROPEAN,OSCT,14/03/12
February,Economy,UK,UK,103.43,BRITISH AIRWAYS,Strategic Director Border,12/02/12
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,29/07/12
February,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group,26/09/12
February,Economy,UK,UK,139.35,BRITISH AIRWAYS,Strategic Director Border,26/07/11
February,Economy,UK,UK,166.54,BRITISH AIRWAYS,Strategy & Reform Directorate,13/12/11
April,Economy,UK,UK,96.54,BRITISH AIRWAYS,Science & Research Group,09/09/11
March,Economy,UK,UK,111.49,BRITISH AIRWAYS,Immigration Group,29/04/11
February,Economy,UK,UK,60.85,BRITISH AIRWAYS,Immigration Group,07/09/12
February,Economy,UK,UK,351.7,FLYBE BRITISH EUROPEAN,HROD,20/02/11
February,Economy,UK,UK,233.62,BRITISH AIRWAYS,Criminal & Detention Group,25/02/12
March,Business Class,Non EEA,Non EEA,1022.2,KENYA AIRWAYS,International Group,07/03/12
February,Economy,UK,UK,115.7,FLYBE BRITISH EUROPEAN,Strategic Director Border,04/10/11
May,Economy,UK,EEA,109.61,BRITISH AIRWAYS,Strategic Director Border,28/09/12
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border,14/03/11
February,Economy,UK,UK,262.63,BRITISH AIRWAYS,Criminal & Detention Group,24/04/11
February,Business Class,UK,UK,35,BRITISH AIRWAYS,Strategic Director Border,02/06/12
March,Business Class,UK,Non EEA,2055.07,VIRGIN ATLANTIC,Science & Research Group,03/01/11
March,Economy,UK,UK,111.54,BRITISH AIRWAYS,Science & Research Group,23/06/12
February,Economy,UK,UK,126.51,FLYBE BRITISH EUROPEAN,Strategic Director Border,24/11/11
February,Economy,UK,UK,262.63,BRITISH AIRWAYS,Strategic Director Border,03/11/11
February,Economy,UK,UK,174.34,FLYBE BRITISH EUROPEAN,Communications,24/04/12
February,Economy,UK,UK,20,FLYBE BRITISH EUROPEAN,HMIC,07/09/11
February,Economy,UK,UK,115,BRITISH AIRWAYS,Immigration Group,31/08/12
February,Economy,UK,EEA,229.83,BRITISH AIRWAYS,Strategic Director Border,12/07/12
February,Business Class,UK,UK,219.35,BRITISH AIRWAYS,HROD,20/09/12
February,Economy,UK,UK,149.35,BRITISH AIRWAYS,HROD,16/02/12
March,Economy,UK,UK,103.62,BRITISH AIRWAYS,Strategy & Reform Directorate,30/07/11
March,Economy,UK,UK,139.49,BRITISH AIRWAYS,Strategy & Reform Directorate,16/01/12
February,Economy,UK,UK,111.54,BRITISH AIRWAYS,Science & Research Group,30/01/12
April,Economy,UK,UK,111.54,BRITISH AIRWAYS,Science & Research Group,06/02/12
March,Economy,UK,EEA,177.4,BRITISH AIRWAYS,International Group,13/01/11
February,Business Class,UK,UK,234.35,BRITISH AIRWAYS,Criminal & Detention Group,20/04/12
March,Economy,UK,EEA,165,BRITISH AIRWAYS,Private Office,07/07/11
February,Economy,UK,EEA,343.4,BMI,Communications,17/08/12
February,Business Class,UK,Non EEA,4666.3,BRITISH AIRWAYS,International Group,21/01/12
February,Economy,UK,UK,32.5,FLYBE BRITISH EUROPEAN,Immigration Group,24/07/11
February,Economy,UK,EEA,265.87,LOT-POLISH AIRLINES,Strategic Director Border,23/09/11
June,Economy,UK,UK,91.54,BRITISH AIRWAYS,Strategy & Reform Directorate,04/04/12
February,Economy,UK,UK,78,BMI,Resource Management Group,21/09/11
March,Economy,UK,UK,116.54,BRITISH AIRWAYS,Science & Research Group,27/09/12
March,Economy,UK,EEA,165,BRITISH AIRWAYS,Private Office,25/10/11
February,Economy,UK,UK,37.5,FLYBE BRITISH EUROPEAN,Strategic Director Border,02/06/12
March,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT,21/11/11
March,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT,27/06/11
February,Business Class,UK,UK,254.35,BRITISH AIRWAYS,Criminal & Detention Group,07/08/11
February,Economy,UK,UK,119.7,FLYBE BRITISH EUROPEAN,Finance & Commercial Group,11/05/11
March,Economy,UK,UK,68.5,BRITISH AIRWAYS,OSCT,27/01/11
March,Economy,UK,UK,71.93,BRITISH AIRWAYS,OSCT,05/06/11
March,Economy,UK,UK,71.93,BRITISH AIRWAYS,OSCT,28/12/11
February,Economy,UK,EEA,114.71,EASYJET,International Group,01/10/12
February,Economy,UK,UK,41.5,BRITISH AIRWAYS,Strategic Director Border,12/04/11
February,Economy,UK,EEA,222.61,MALEV,OSCT,15/10/11
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,HMIC,28/06/11
May,Premium Economy,UK,Non EEA,1284.63,BRITISH AIRWAYS,Science & Research Group,24/05/11
February,Economy,UK,EEA,180.5,BRITISH AIRWAYS,UKBA,13/08/11
February,Economy,UK,UK,88.74,EASYJET,Strategic Director Border,07/03/11
February,Economy,Non EEA,Non EEA,4,TURKISH AIRLINES,Policy & Strategy,26/05/11
February,Economy,UK,UK,200.23,FLYBE BRITISH EUROPEAN,Strategic Director Border,04/05/12
February,Economy,UK,UK,130.43,BRITISH AIRWAYS,Strategic Director Border,22/06/11
May,Premium Economy,UK,Non EEA,1284.63,BRITISH AIRWAYS,Science & Research Group,31/03/12
February,Economy,UK,EEA,208.28,RYANAIR,Strategic Director Border,04/11/11
February,Economy,UK,UK,63.5,BRITISH AIRWAYS,HROD,08/09/11
February,Economy,UK,UK,25.98,FLYBE BRITISH EUROPEAN,Strategic Director Border,20/10/11
February,Economy,UK,UK,204.51,FLYBE BRITISH EUROPEAN,Immigration Group,27/10/11
February,Economy,UK,UK,78.74,EASYJET,Finance & Commercial Group,15/01/11
March,Economy,UK,EEA,200.77,BRITISH AIRWAYS,Immigration Group,25/11/11
February,Economy,UK,EEA,337.1,LUXAIR,Science & Research Group,04/09/11
February,Premium Economy,UK,Non EEA,1616.27,VIRGIN ATLANTIC,Strategic Director Border,04/01/11
February,Economy,UK,UK,220.63,FLYBE BRITISH EUROPEAN,Strategic Director Border,01/11/11
February,Economy,UK,UK,52.93,BRITISH AIRWAYS,HROD,11/01/12
February,Economy,UK,UK,104.9,MANX2,Immigration Group,08/09/12
February,Economy,UK,UK,156.59,BMI,Legal Advisors Branch,07/08/11
February,Economy,UK,UK,154.93,BRITISH AIRWAYS,OSCT,03/02/11
March,Economy,UK,UK,82.93,BRITISH AIRWAYS,OSCT,24/02/11
February,Economy,UK,UK,121.5,BRITISH AIRWAYS,Immigration Group,31/01/12
February,Economy,UK,UK,115.93,BRITISH AIRWAYS,OSCT,18/07/11
March,Business Class,UK,Non EEA,3523.5,BRITISH AIRWAYS,Immigration Group,04/11/11
March,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,OSCT,04/12/11
April,Economy,UK,EEA,279.91,BRITISH AIRWAYS,Science & Research Group,14/09/12
February,Economy,UK,UK,184.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,12/06/11
February,Economy,UK,EEA,603.4,BRITISH AIRWAYS,Strategic Director Border,09/03/12
February,Economy,UK,UK,147.01,FLYBE BRITISH EUROPEAN,HMIC,16/06/11
February,Economy,UK,UK,66.51,FLYBE BRITISH EUROPEAN,Finance & Commercial Group,14/04/12
March,Economy,UK,UK,56.99,AER LINGUS,Finance & Commercial Group,24/06/11
February,Economy,UK,UK,52.93,BRITISH AIRWAYS,HROD,16/08/12
February,Economy,UK,UK,63.5,BRITISH AIRWAYS,HROD,16/09/11
February,Economy,UK,UK,221.1,BMI,Strategy & Reform Directorate,15/03/12
February,Economy,UK,UK,276.62,BRITISH AIRWAYS,Strategic Director Border,17/07/11
February,Premium Economy,UK,Non EEA,1616.27,VIRGIN ATLANTIC,Strategic Director Border,17/08/12
February,Economy,UK,UK,173.5,BMI,Strategic Director Border,10/04/11
February,Economy,UK,UK,234.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,11/10/11
February,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Criminal & Detention Group,05/09/12
February,Economy,UK,UK,12.99,FLYBE BRITISH EUROPEAN,Policy & Strategy,09/04/12
February,Economy,UK,UK,121.43,BRITISH AIRWAYS,Criminal & Detention Group,31/03/11
February,Economy,UK,UK,140,FLYBE BRITISH EUROPEAN,Finance & Commercial Group,27/01/11
February,Economy,UK,UK,247.63,BRITISH AIRWAYS,Strategic Director Border,04/01/12
February,Economy,UK,UK,240.9,BMI,Strategic Director Border,21/08/11
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border,01/03/12
February,Economy,UK,UK,187.98,FLYBE BRITISH EUROPEAN,Policy & Strategy,26/09/11
February,Business Class,UK,UK,35,BRITISH AIRWAYS,Strategic Director Border,05/09/12
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border,05/02/12
February,Economy,UK,UK,144,BMI,Criminal & Detention Group,26/01/12
February,Economy,UK,UK,144,BMI,Criminal & Detention Group,29/02/12
February,Business Class,UK,Non EEA,3161.1,BRITISH AIRWAYS,OSCT,17/05/12
