Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,Date
February,Economy,UK,UK,66.91,FLYBE BRITISH EUROPEAN,IPS,25/04/11
February,Economy,UK,UK,111.03,EASYJET,IPS,13/05/12
January,Economy,UK,UK,211.62,BRITISH AIRWAYS,IPS,13/02/12
February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,08/03/12
February,Economy,UK,Non EEA,491.03,BRITISH AIRWAYS,IPS,27/06/12
January,Economy,UK,UK,9.6,FLYBE BRITISH EUROPEAN,IPS,16/05/12
February,Economy,UK,UK,146.62,BRITISH AIRWAYS,IPS,13/05/12
February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS,28/03/11
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,11/09/11
February,Economy,UK,UK,42.85,BRITISH AIRWAYS,IPS,17/08/11
February,Economy,UK,UK,169.8,MANX2,IPS,10/10/11
January,Economy,UK,UK,87.03,EASYJET,IPS,21/05/12
January,Economy,UK,UK,255.31,FLYBE BRITISH EUROPEAN,IPS,03/02/11
January,Economy,UK,UK,83.81,FLYBE BRITISH EUROPEAN,IPS,02/06/11
January,Economy,UK,UK,48.74,EASYJET,IPS,28/03/12
January,Economy,UK,UK,81.6,FLYBE BRITISH EUROPEAN,IPS,22/08/11
January,Economy,UK,UK,132.03,EASYJET,IPS,16/12/11
January,Economy,UK,UK,95.59,BMI,IPS,27/04/11
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,05/12/11
January,Economy,UK,UK,97.93,BRITISH AIRWAYS,IPS,25/08/11
February,Economy,UK,UK,126.15,FLYBE BRITISH EUROPEAN,IPS,02/06/12
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,28/06/11
February,Economy,UK,UK,95.03,EASYJET,IPS,30/10/11
January,Economy,UK,UK,92.69,BRITISH AIRWAYS,IPS,07/01/12
January,Economy,UK,UK,94.34,FLYBE BRITISH EUROPEAN,IPS,25/08/11
January,Economy,UK,UK,53.74,EASYJET,IPS,10/02/11
January,Business Class,UK,UK,258.54,BRITISH AIRWAYS,IPS,18/08/11
January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS,02/05/12
February,Economy,UK,UK,35.6,BMI,IPS,11/05/12
February,Economy,UK,UK,68.73,BRITISH AIRWAYS,IPS,10/01/12
February,Economy,UK,UK,30.5,BMI,IPS,06/02/12
February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS,07/04/12
February,Economy,UK,EEA,113.98,RYANAIR,IPS,22/03/11
January,Economy,UK,UK,211.59,BMI,IPS,23/02/11
February,Economy,UK,EEA,113.98,RYANAIR,IPS,26/09/11
February,Economy,UK,UK,71,FLYBE BRITISH EUROPEAN,IPS,30/05/12
January,Economy,UK,UK,262.62,BRITISH AIRWAYS,IPS,27/01/12
February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS,30/01/12
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,IPS,14/06/12
February,Economy,UK,UK,129.8,BRITISH AIRWAYS,IPS,02/02/11
January,Economy,UK,UK,222.01,FLYBE BRITISH EUROPEAN,IPS,03/09/11
January,Economy,UK,UK,185.82,FLYBE BRITISH EUROPEAN,IPS,19/01/11
January,Economy,UK,UK,295.59,BMI,IPS,16/03/12
January,Economy,UK,UK,141.51,FLYBE BRITISH EUROPEAN,IPS,28/01/12
February,Economy,UK,UK,195.59,BMI,IPS,24/04/12
January,Economy,UK,UK,127.5,FLYBE BRITISH EUROPEAN,IPS,17/09/12
March,Economy,UK,Non EEA,385.29,KLM-ROYAL DUTCH AIRLINES,IPS,28/03/11
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS,06/08/12
February,Economy,UK,Non EEA,772.1,QATAR AIRWAYS,IPS,05/10/11
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,02/07/11
February,Economy,UK,Non EEA,50,QATAR AIRWAYS,IPS,25/06/11
February,Economy,UK,UK,57.85,BRITISH AIRWAYS,IPS,03/07/11
February,Economy,UK,UK,57.74,EASYJET,IPS,16/08/12
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,22/09/11
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,01/03/12
